name,city,swift_code
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPRBS"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPTRS"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP030"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP060"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP074"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPALA"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPNAT"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPESY"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPSHX"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPNLA"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP760"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPCRA"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP756"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP758"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP757"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP755"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP759"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPGCM"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPCTS"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP221"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP322"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP116"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP144"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP240"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP242"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP249"
